stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id
"19560","Leopold St/St Kilda Rd #24","-37.84115853","144.97740511","https://transport.vic.gov.au/stop/2609/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19561","Commercial Rd/St Kilda Rd #25","-37.84452295","144.97863142","https://transport.vic.gov.au/stop/2607/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19562","Moubray St/St Kilda Rd #26","-37.84755154","144.97971927","https://transport.vic.gov.au/stop/2408/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19563","High St/St Kilda Rd #27","-37.84986386","144.98055399","https://transport.vic.gov.au/stop/2406/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19565","Union St/St Kilda Rd #29","-37.85300170","144.98170720","https://transport.vic.gov.au/stop/2403/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19566","St Kilda Junction/St Kilda Rd #30","-37.85529579","144.98253116","https://transport.vic.gov.au/stop/2401/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19567","Queens Way/Queens Way #31","-37.85624589","144.98749492","https://transport.vic.gov.au/stop/2605/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19568","St Kilda Junction/St Kilda Rd #30","-37.85503126","144.98234516","https://transport.vic.gov.au/stop/2401/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19569","Union St/St Kilda Rd #29","-37.85248340","144.98143720","https://transport.vic.gov.au/stop/2403/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19572","Beatrice St/St Kilda Rd #26","-37.84789461","144.97975537","https://transport.vic.gov.au/stop/2407/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19573","Commercial Rd/St Kilda Rd #25","-37.84401326","144.97833851","https://transport.vic.gov.au/stop/2606/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19574","Leopold St/St Kilda Rd #24","-37.84148319","144.97741896","https://transport.vic.gov.au/stop/2608/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19575","Arthur St/St Kilda Rd #23","-37.83929754","144.97661506","https://transport.vic.gov.au/stop/2610/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19589","Curzon St/Queensberry St #13","-37.80294186","144.94836153","https://transport.vic.gov.au/stop/3159/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19590","North Melbourne Town Hall/Errol St #12","-37.80322364","144.94953494","https://transport.vic.gov.au/stop/3160/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19591","Royal Melbourne Hospital/Flemington Rd #14","-37.79982567","144.95520532","https://transport.vic.gov.au/stop/2712/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19594","Royal Childrens Hospital/Flemington Rd #19","-37.79414113","144.94805992","https://transport.vic.gov.au/stop/2707/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19595","Melrose St/Flemington Rd #20","-37.79047421","144.94346007","https://transport.vic.gov.au/stop/2706/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19597","Flemington Bridge Station/Flemington Rd #22","-37.78805429","144.94060882","https://transport.vic.gov.au/stop/2281/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19598","Djerring Flemington Hub/Mt Alexander Rd  #23","-37.78584274","144.93885341","https://transport.vic.gov.au/stop/2702/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19599","Mooltan St/Mt Alexander Rd #24","-37.78421823","144.93717261","https://transport.vic.gov.au/stop/2700/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19600","Mount Alexander College/Mt Alexander Rd #25","-37.78256524","144.93386898","https://transport.vic.gov.au/stop/3390/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19601","Wellington St/Mt Alexander Rd #26","-37.78143563","144.93266281","https://transport.vic.gov.au/stop/2698/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19602","Essendon Tram Depot/Mt Alexander Rd #27","-37.77980781","144.93131160","https://transport.vic.gov.au/stop/2689/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19603","Middle St/Mt Alexander Rd #28","-37.77769900","144.92976951","https://transport.vic.gov.au/stop/2694/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19604","Warrick St/Mt Alexander Rd #29","-37.77574769","144.92847288","https://transport.vic.gov.au/stop/2480/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19605","Maribyrnong Rd/Mt Alexander Rd #30","-37.77300833","144.92694856","https://transport.vic.gov.au/stop/2691/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19606","Montgomery St/Mt Alexander Rd #31","-37.77068587","144.92607115","https://transport.vic.gov.au/stop/2688/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19608","Moonee Ponds Junction/Pascoe Vale Rd #32","-37.76665343","144.92481021","https://transport.vic.gov.au/stop/2685/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19609","Moonee Valley Civic Centre/Pascoe Vale Rd #34","-37.76400466","144.92536102","https://transport.vic.gov.au/stop/2683/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19623","Queens Park/Pascoe Vale Rd #35","-37.76270199","144.92559040","https://transport.vic.gov.au/stop/2682/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19624","Murray St/Pascoe Vale Rd #36","-37.75986286","144.92607836","https://transport.vic.gov.au/stop/2681/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19625","Buckley St/Pascoe Vale Rd #37","-37.75825454","144.92635030","https://transport.vic.gov.au/stop/2679/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19626","Fletcher St/Pascoe Vale Rd #38","-37.75611321","144.92603553","https://transport.vic.gov.au/stop/2678/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
