route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X117","2-SHM-vpt-7.4.H","Sandringham","0","8716","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X118","2-SHM-vpt-7.3.R","Flinders Street","1","8803","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X119","2-SHM-vpt-7.4.H","Sandringham","0","8719","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X120","2-SHM-vpt-7.3.R","Flinders Street","1","8731","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X121","2-SHM-vpt-7.4.H","Sandringham","0","8754","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X122","2-SHM-vpt-7.3.R","Flinders Street","1","8711","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X123","2-SHM-vpt-7.4.H","Sandringham","0","","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X124","2-SHM-vpt-7.3.R","Flinders Street","1","8849","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X125","2-SHM-vpt-7.4.H","Sandringham","0","8803","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X126","2-SHM-vpt-7.3.R","Flinders Street","1","8705","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X127","2-SHM-vpt-7.4.H","Sandringham","0","8731","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X128","2-SHM-vpt-7.3.R","Flinders Street","1","8875","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X129","2-SHM-vpt-7.4.H","Sandringham","0","8711","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X130","2-SHM-vpt-7.3.R","Flinders Street","1","8870","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X131","2-SHM-vpt-7.4.H","Sandringham","0","8849","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X132","2-SHM-vpt-7.3.R","Flinders Street","1","8816","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X133","2-SHM-vpt-7.4.H","Sandringham","0","8705","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X134","2-SHM-vpt-7.3.R","Flinders Street","1","8725","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X135","2-SHM-vpt-7.4.H","Sandringham","0","8875","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X136","2-SHM-vpt-7.2.R","Flinders Street","1","8644","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X137","2-SHM-vpt-7.4.H","Sandringham","0","8870","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X138","2-SHM-vpt-7.9.R","Flinders Street","1","8910","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X139","2-SHM-vpt-7.4.H","Sandringham","0","8816","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X140","2-SHM-vpt-7.3.R","Flinders Street","1","8871","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X141","2-SHM-vpt-7.4.H","Sandringham","0","8725","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X142","2-SHM-vpt-7.3.R","Flinders Street","1","8790","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X143","2-SHM-vpt-7.4.H","Sandringham","0","8910","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X144","2-SHM-vpt-7.3.R","Flinders Street","1","8807","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X145","2-SHM-vpt-7.4.H","Sandringham","0","8871","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X146","2-SHM-vpt-7.3.R","Flinders Street","1","8708","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X147","2-SHM-vpt-7.4.H","Sandringham","0","8790","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X148","2-SHM-vpt-7.10.R","Flinders Street","1","","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X149","2-SHM-vpt-7.4.H","Sandringham","0","8807","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X150","2-SHM-vpt-7.3.R","Flinders Street","1","8837","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X151","2-SHM-vpt-7.4.H","Sandringham","0","8708","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X152","2-SHM-vpt-7.3.R","Flinders Street","1","8649","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X153","2-SHM-vpt-7.4.H","Sandringham","0","8837","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X154","2-SHM-vpt-7.3.R","Flinders Street","1","8864","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X155","2-SHM-vpt-7.4.H","Sandringham","0","8649","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X156","2-SHM-vpt-7.3.R","Flinders Street","1","8763","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X157","2-SHM-vpt-7.4.H","Sandringham","0","8864","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X158","2-SHM-vpt-7.3.R","Flinders Street","1","8752","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X159","2-SHM-vpt-7.4.H","Sandringham","0","8763","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X160","2-SHM-vpt-7.10.R","Flinders Street","1","","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X161","2-SHM-vpt-7.4.H","Sandringham","0","8752","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X162","2-SHM-vpt-7.3.R","Flinders Street","1","8689","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X163","2-SHM-vpt-7.4.H","Sandringham","0","8689","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X164","2-SHM-vpt-7.3.R","Flinders Street","1","8805","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X165","2-SHM-vpt-7.4.H","Sandringham","0","8805","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X166","2-SHM-vpt-7.3.R","Flinders Street","1","8792","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X167","2-SHM-vpt-7.4.H","Sandringham","0","8792","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X168","2-SHM-vpt-7.3.R","Flinders Street","1","8774","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X169","2-SHM-vpt-7.4.H","Sandringham","0","8774","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X170","2-SHM-vpt-7.3.R","Flinders Street","1","8778","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X171","2-SHM-vpt-7.4.H","Sandringham","0","8778","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X172","2-SHM-vpt-7.3.R","Flinders Street","1","8728","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X173","2-SHM-vpt-7.4.H","Sandringham","0","8728","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X174","2-SHM-vpt-7.3.R","Flinders Street","1","8773","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X175","2-SHM-vpt-7.4.H","Sandringham","0","8773","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X176","2-SHM-vpt-7.3.R","Flinders Street","1","8747","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X177","2-SHM-vpt-7.4.H","Sandringham","0","8747","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X178","2-SHM-vpt-7.3.R","Flinders Street","1","8730","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X179","2-SHM-vpt-7.4.H","Sandringham","0","8730","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X180","2-SHM-vpt-7.3.R","Flinders Street","1","8650","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X181","2-SHM-vpt-7.4.H","Sandringham","0","8650","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X183","2-SHM-vpt-7.4.H","Sandringham","0","","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X184","2-SHM-vpt-7.3.R","Flinders Street","1","8690","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X185","2-SHM-vpt-7.4.H","Sandringham","0","8690","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X200","2-SHM-vpt-7.3.R","Flinders Street","1","","1"
"aus:vic:vic-02-SHM-R:","T2_1","02-SHM-R-7-T2-BX000","2-SHM-R-vpt-7.1.R","Parliament","1","","1"
"aus:vic:vic-02-SHM-R:","T2_1","02-SHM-R-7-T2-BX001","2-SHM-R-vpt-7.2.H","Sandringham","0","","1"
"aus:vic:vic-02-SHM-R:","T6_1","02-SHM-R-7-T6-BX000","2-SHM-R-vpt-7.1.R","Parliament","1","","1"
"aus:vic:vic-02-SHM-R:","T6_1","02-SHM-R-7-T6-BX001","2-SHM-R-vpt-7.2.H","Sandringham","0","","1"
"aus:vic:vic-02-STY:","T2_2","02-STY--1-T2-8500","2-STY-vpt-1.1.R","Frankston","1","","1"
"aus:vic:vic-02-STY:","T2_2","02-STY--1-T2-8501","2-STY-vpt-1.2.H","Stony Point","0","","1"
